,f_minority,f_majority,auc
0,0.0,0.7346938775510203,0.40909090909090906
1,0.0,0.5909090909090909,0.2954545454545454
2,0.375,0.7826086956521738,0.5757575757575757
3,0.2105263157894737,0.6511627906976744,0.4292929292929293
4,0.27272727272727276,0.6,0.43939393939393934
5,0.3333333333333333,0.7272727272727273,0.5303030303030303
6,0.23529411764705882,0.711111111111111,0.47474747474747475
7,0.26666666666666666,0.7659574468085107,0.5202020202020202
8,0.14285714285714285,0.7500000000000001,0.46464646464646464
9,0.125,0.6956521739130435,0.4191919191919192
10,0.0,0.6521739130434783,0.34090909090909094
11,0.3333333333333333,0.7272727272727273,0.5303030303030303
12,0.0,0.7083333333333333,0.38636363636363635
13,0.125,0.6956521739130435,0.4191919191919192
14,0.2857142857142857,0.7916666666666666,0.5429292929292929
15,0.25,0.7391304347826088,0.4974747474747475
16,0.0,0.7083333333333333,0.38636363636363635
17,0.14285714285714285,0.7500000000000001,0.46464646464646464
18,0.25,0.7391304347826088,0.4974747474747475
19,0.11764705882352941,0.6666666666666666,0.3964646464646465
20,0.375,0.7826086956521738,0.5757575757575757
21,0.125,0.6956521739130435,0.4191919191919192
22,0.15384615384615383,0.7755102040816326,0.4873737373737374
23,0.13333333333333333,0.7234042553191491,0.44191919191919193
24,0.2857142857142857,0.7916666666666666,0.5429292929292929
25,0.26666666666666666,0.7659574468085107,0.5202020202020202
26,0.39999999999999997,0.7142857142857143,0.5631313131313131
27,0.25,0.7391304347826088,0.4974747474747475
28,0.0,0.7843137254901961,0.45454545454545453
29,0.30769230769230765,0.8163265306122449,0.5656565656565656
30,0.0,0.76,0.4318181818181818
31,0.13333333333333333,0.7234042553191491,0.44191919191919193
32,0.2105263157894737,0.6511627906976744,0.4292929292929293
33,0.125,0.6956521739130435,0.4191919191919192
34,0.4,0.8085106382978724,0.5984848484848484
35,0.19999999999999998,0.6190476190476191,0.4065656565656566
36,0.2222222222222222,0.6818181818181818,0.4520202020202021
37,0.1818181818181818,0.823529411764706,0.5328282828282829
38,0.0,0.76,0.4318181818181818
39,0.125,0.6956521739130435,0.4191919191919192
40,0.3,0.6666666666666666,0.4848484848484848
41,0.25,0.7391304347826088,0.4974747474747475
42,0.11764705882352941,0.6666666666666666,0.3964646464646465
43,0.15384615384615383,0.7755102040816326,0.4873737373737374
44,0.23529411764705882,0.711111111111111,0.47474747474747475
45,0.1904761904761905,0.5853658536585366,0.3838383838383838
46,0.3,0.6666666666666666,0.4848484848484848
47,0.2105263157894737,0.6511627906976744,0.4292929292929293
48,0.0,0.5581395348837208,0.2727272727272727
49,0.1818181818181818,0.823529411764706,0.5328282828282829
50,0.30769230769230765,0.8163265306122449,0.5656565656565656
51,0.125,0.6956521739130435,0.4191919191919192
52,0.26666666666666666,0.7659574468085107,0.5202020202020202
53,0.30769230769230765,0.8163265306122449,0.5656565656565656
54,0.0,0.6808510638297872,0.36363636363636365
55,0.35294117647058826,0.7555555555555555,0.553030303030303
56,0.14285714285714285,0.7500000000000001,0.46464646464646464
57,0.0,0.7346938775510203,0.40909090909090906
58,0.23529411764705882,0.711111111111111,0.47474747474747475
59,0.14285714285714285,0.7500000000000001,0.46464646464646464
60,0.14285714285714285,0.7500000000000001,0.46464646464646464
61,0.1818181818181818,0.823529411764706,0.5328282828282829
62,0.19999999999999998,0.6190476190476191,0.4065656565656566
63,0.23529411764705882,0.711111111111111,0.47474747474747475
64,0.0,0.7843137254901961,0.45454545454545453
65,0.0,0.6808510638297872,0.36363636363636365
66,0.0,0.6808510638297872,0.36363636363636365
67,0.42857142857142855,0.8333333333333333,0.6212121212121211
68,0.0,0.7083333333333333,0.38636363636363635
69,0.13333333333333333,0.7234042553191491,0.44191919191919193
70,0.2222222222222222,0.6818181818181818,0.4520202020202021
71,0.14285714285714285,0.7500000000000001,0.46464646464646464
72,0.0,0.7083333333333333,0.38636363636363635
73,0.14285714285714285,0.7500000000000001,0.46464646464646464
74,0.23529411764705882,0.711111111111111,0.47474747474747475
75,0.4,0.8085106382978724,0.5984848484848484
76,0.35294117647058826,0.7555555555555555,0.553030303030303
77,0.125,0.6956521739130435,0.4191919191919192
78,0.14285714285714285,0.7500000000000001,0.46464646464646464
79,0.3,0.6666666666666666,0.4848484848484848
80,0.16666666666666666,0.8,0.5101010101010102
81,0.23529411764705882,0.711111111111111,0.47474747474747475
82,0.14285714285714285,0.7500000000000001,0.46464646464646464
83,0.3333333333333333,0.84,0.5883838383838385
84,0.13333333333333333,0.7234042553191491,0.44191919191919193
85,0.125,0.6956521739130435,0.4191919191919192
86,0.43478260869565216,0.6666666666666667,0.5732323232323232
87,0.23529411764705882,0.711111111111111,0.47474747474747475
88,0.2222222222222222,0.6818181818181818,0.4520202020202021
89,0.30769230769230765,0.8163265306122449,0.5656565656565656
90,0.0,0.6521739130434783,0.34090909090909094
91,0.4210526315789474,0.7441860465116279,0.5858585858585859
92,0.0,0.7346938775510203,0.40909090909090906
93,0.13333333333333333,0.7234042553191491,0.44191919191919193
94,0.1904761904761905,0.5853658536585366,0.3838383838383838
95,0.1818181818181818,0.823529411764706,0.5328282828282829
96,0.0,0.76,0.4318181818181818
97,0.2857142857142857,0.7916666666666666,0.5429292929292929
98,0.2222222222222222,0.6818181818181818,0.4520202020202021
99,0.0,0.6808510638297872,0.36363636363636365
