profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
ANTIMONY COMPOUNDS<2.322e-04		PHENOL<2.225e-02		CARBONYL SULFIDE>=8.152e-05,EmergencyRoomVisit,0.9305340404561615,mixed_sign_profile,-0.017561494756923837,-0.4124075718419251,0.3772845823280775,2,31,120,True,[],"Index(['PHENOL<_and_CARBONYL SULFIDE>='], dtype='object')","[['PHENOL<_and_CARBONYL SULFIDE>=', 'CARBONYL SULFIDE>=']]"
METHYL ISOBUTYL KETONE (HEXONE)>=2.961e-01		PROPIONALDEHYDE<1.125e-01,EmergencyRoomVisit,0.3972611896539836,mixed_sign_profile,-0.16114842035451765,-0.5342572365408194,0.2119603958317841,2,25,126,True,[0.7296422623158129],"Index(['METHYL ISOBUTYL KETONE (HEXONE)>=_and_PROPIONALDEHYDE<'], dtype='object')",[]
"HYDROQUINONE<1.654e-05		1,4-DIOXANE<1.607e-06		HEXACHLOROBENZENE<1.251e-09",EmergencyRoomVisit,0.7424905152868566,neg_correlate,0.06907427407805425,-0.3429792456317121,0.48112779378782067,2,32,119,True,[0.7574688453470223],"Index(['1,4-DIOXANE<_and_HEXACHLOROBENZENE<'], dtype='object')",[]
"HYDROQUINONE<1.654e-05		1,4-DIOXANE<1.607e-06		HEXACHLOROBENZENE>=1.251e-09",EmergencyRoomVisit,0.26362673723173335,mixed_sign_profile,-0.20652927877604216,-0.5686407261048079,0.1555821685527235,2,17,134,True,[0.7872542077758059],"Index(['1,4-DIOXANE<_and_HEXACHLOROBENZENE>='], dtype='object')",[]
MALEIC ANHYDRIDE<1.695e-05,EmergencyRoomVisit,0.4274636760633779,neg_correlate,0.15688798220518613,-0.2306098909276475,0.5443858553380198,2,51,100,True,[],[],[]
PHENOL>=2.486e-02,EmergencyRoomVisit,0.07088873659533353,neg_correlate,-0.3316673949499251,-0.6915721174538183,0.028237327553968183,2,26,125,True,[],[],[]
STYRENE<2.085e-02,EmergencyRoomVisit,0.4593127166750909,pos_correlate,-0.1424332856405689,-0.5196927721344897,0.23482620085335187,2,27,124,True,[],[],[]
METHYL ISOBUTYL KETONE (HEXONE)>=2.961e-01		NAPHTHALENE<3.021e-01,EmergencyRoomVisit,0.3530798468569749,mixed_sign_profile,-0.17842817566956326,-0.5550174045436432,0.1981610532045167,2,39,112,True,[nan],"Index(['METHYL ISOBUTYL KETONE (HEXONE)>=_and_NAPHTHALENE<'], dtype='object')",[]
DIBUTYLPHTHALATE<1.519e-04,EmergencyRoomVisit,0.6785281546262649,pos_correlate,-0.08094177849924192,-0.46370058111371293,0.30181702411522904,2,50,101,True,[],[],[]
HYDROQUINONE>=1.654e-05		CADMIUM COMPOUNDS<5.296e-04,EmergencyRoomVisit,0.00295404833111115,mixed_sign_profile,-0.5440628189486387,-0.9028015392344699,-0.18532409866280758,2,30,121,True,[0.03580790774766549],"Index(['HYDROQUINONE>=_and_CADMIUM COMPOUNDS<'], dtype='object')",[]
"STYRENE>=1.075e-01		1,1,1-TRICHLOROETHANE<1.948e+00",EmergencyRoomVisit,0.06100306031882669,mixed_sign_profile,0.517049523009226,-0.023870093417708516,1.0579691394361606,2,21,130,True,[0.6515273963314885],"Index(['STYRENE>=_and_1,1,1-TRICHLOROETHANE<'], dtype='object')",[]
"STYRENE>=1.075e-01		1,1,1-TRICHLOROETHANE>=1.948e+00",EmergencyRoomVisit,0.7046773271554938,neg_correlate,-0.08529554132261079,-0.526377152034967,0.3557860693897455,2,5,146,True,[0.651858253792376],"Index(['STYRENE>=_and_1,1,1-TRICHLOROETHANE>='], dtype='object')",[]
BENZIDINE<1.194e-08,EmergencyRoomVisit,0.987692017584976,pos_correlate,-0.0029860322066252334,-0.38236962780730294,0.37639756339405245,2,37,114,True,[],[],[]
"TITANIUM TETRACHLORIDE<4.560e-05		1,3-DICHLOROPROPENE<1.455e-03",EmergencyRoomVisit,0.0280324750021018,pos_correlate,-0.4260219996095743,-0.8061092917205098,-0.045934707498638816,2,18,133,True,[0.3888638075617281],"Index(['TITANIUM TETRACHLORIDE<_and_1,3-DICHLOROPROPENE<'], dtype='object')",[]
DIBUTYLPHTHALATE>=4.369e-04		STYRENE<1.075e-01,EmergencyRoomVisit,0.004241676194057221,mixed_sign_profile,-0.5145202375258366,-0.8671706133611745,-0.16186986169049877,2,27,124,True,[0.9438400998133375],"Index(['DIBUTYLPHTHALATE>=_and_STYRENE<'], dtype='object')",[]
